Seletor,Modelo,Quantidade de Features,Acurácia,F1 Score,Precision,Recall
GINI,RandomForestClassifier,399,0.9933054,0.9933034,0.9933015,0.9933054
GINI,RandomForestClassifier,300,0.9932673,0.9932640,0.9932611,0.9932673
GINI,RandomForestClassifier,200,0.9931529,0.9931517,0.9931505,0.9931529
GINI,RandomForestClassifier,150,0.9929243,0.9929216,0.9929191,0.9929243
GINI,RandomForestClassifier,100,0.9926067,0.9926028,0.9925994,0.9926067
GINI,RandomForestClassifier,75,0.9922002,0.9921967,0.9921936,0.9922002
GINI,RandomForestClassifier,50,0.9916540,0.9916437,0.9916359,0.9916540
GINI,RandomForestClassifier,10,0.9846926,0.9846506,0.9846208,0.9846926
GINI,RandomForestClassifier,5,0.9707952,0.9705783,0.9704457,0.9707952
GINI,SVC,399,0.8883511,0.8719041,0.8722466,0.8883511
GINI,SVC,300,0.8888847,0.8724039,0.8730113,0.8888847
GINI,SVC,200,0.8890498,0.8726497,0.8732599,0.8890498
GINI,SVC,150,0.8892149,0.8727918,0.8734962,0.8892149
GINI,SVC,100,0.8886941,0.8738111,0.8730705,0.8886941
GINI,SVC,75,0.8887068,0.8716130,0.8726912,0.8887068
GINI,SVC,50,0.8886433,0.8710272,0.8725705,0.8886433
GINI,SVC,10,0.8867505,0.8696249,0.8698205,0.8867505
GINI,SVC,5,0.8736662,0.8536451,0.8498814,0.8736662
GINI,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861
GINI,GaussianNB,300,0.4889228,0.5558108,0.8540929,0.4889228
GINI,GaussianNB,200,0.6723704,0.7245304,0.8583743,0.6723704
GINI,GaussianNB,150,0.8261433,0.8398533,0.8610804,0.8261433
GINI,GaussianNB,100,0.8412983,0.8487788,0.8585869,0.8412983
GINI,GaussianNB,75,0.8397231,0.8471823,0.8568841,0.8397231
GINI,GaussianNB,50,0.8301067,0.8293719,0.8286508,0.8301067
GINI,GaussianNB,10,0.8332825,0.8417009,0.8527335,0.8332825
GINI,GaussianNB,5,0.8276550,0.8313764,0.8354850,0.8276550
GINI,MultGaussianNB,399,0.7437754,0.7801595,0.8559668,0.7437754
GINI,MultGaussianNB,300,0.8151423,0.8299586,0.8522330,0.8151423
GINI,MultGaussianNB,200,0.8243902,0.8359982,0.8523641,0.8243902
GINI,MultGaussianNB,150,0.8309324,0.8398508,0.8516277,0.8309324
GINI,MultGaussianNB,100,0.8675051,0.8625354,0.8587438,0.8675051
GINI,MultGaussianNB,75,0.8691565,0.8607412,0.8555457,0.8691565
GINI,MultGaussianNB,50,0.8794715,0.8662404,0.8621428,0.8794715
GINI,MultGaussianNB,10,0.8666540,0.8047438,0.7510891,0.8666540
GINI,MultGaussianNB,5,0.8666540,0.8047438,0.7510891,0.8666540
GINI,XGBoost,399,0.9677908,0.1521036,0.8392857,0.08362989
GINI,XGBoost,300,0.9678933,0.1615837,0.8251366,0.08956109
GINI,XGBoost,200,0.9679548,0.1751055,0.7904762,0.09845789
GINI,XGBoost,150,0.9681801,0.1600865,0.9079755,0.08778173
GINI,XGBoost,100,0.9683645,0.1839323,0.8446602,0.1032028
GINI,XGBoost,75,0.9683850,0.1857520,0.8421053,0.1043891
GINI,XGBoost,50,0.9682826,0.1826822,0.8317308,0.1026097
GINI,XGBoost,10,0.9668893,0.2215800,0.5897436,0.1364176
GINI,XGBoost,5,0.9654141,0.01516919,0.4642857,0.007710558
GINI,GradientBoostingClassifier,399,0.9131352,0.9052950,0.9057236,0.9131352
GINI,GradientBoostingClassifier,300,0.9139355,0.9061917,0.9067115,0.9139355
GINI,GradientBoostingClassifier,200,0.9138338,0.9058109,0.9065954,0.9138338
GINI,GradientBoostingClassifier,150,0.9137703,0.9056898,0.9065200,0.9137703
GINI,GradientBoostingClassifier,100,0.9133765,0.9053165,0.9060262,0.9133765
GINI,GradientBoostingClassifier,75,0.9133003,0.9051949,0.9059332,0.9133003
GINI,GradientBoostingClassifier,50,0.9121697,0.9035015,0.9045508,0.9121697
GINI,GradientBoostingClassifier,10,0.9101880,0.9012488,0.9020498,0.9101880
GINI,GradientBoostingClassifier,5,0.9054878,0.8940972,0.8961696,0.9054878
INFOGAIN,RandomForestClassifier,399,0.9933054,0.9933050,0.9933046,0.9933054
INFOGAIN,RandomForestClassifier,300,0.9928862,0.9928807,0.9928762,0.9928862
INFOGAIN,RandomForestClassifier,200,0.9920224,0.9920201,0.9920180,0.9920224
INFOGAIN,RandomForestClassifier,150,0.9915523,0.9915488,0.9915455,0.9915523
INFOGAIN,RandomForestClassifier,100,0.9904599,0.9904547,0.9904500,0.9904599
INFOGAIN,RandomForestClassifier,75,0.9891514,0.9891246,0.9891078,0.9891514
INFOGAIN,RandomForestClassifier,50,0.9880589,0.9880328,0.9880145,0.9880589
INFOGAIN,RandomForestClassifier,10,0.9828125,0.9827612,0.9827242,0.9828125
INFOGAIN,RandomForestClassifier,5,0.9656885,0.9653304,0.9651348,0.9656885
INFOGAIN,SVC,399,0.8883511,0.8719041,0.8722466,0.8883511
INFOGAIN,SVC,300,0.8877287,0.8711070,0.8713229,0.8877287
INFOGAIN,SVC,200,0.8879065,0.8706497,0.8714941,0.8879065
INFOGAIN,SVC,150,0.8877795,0.8704942,0.8713035,0.8877795
INFOGAIN,SVC,100,0.8871951,0.8688268,0.8703444,0.8871951
INFOGAIN,SVC,75,0.8857597,0.8684572,0.8683492,0.8857597
INFOGAIN,SVC,50,0.8847688,0.8688501,0.8673734,0.8847688
INFOGAIN,SVC,10,0.8826728,0.8599610,0.8630280,0.8826728
INFOGAIN,SVC,5,0.8666540,0.8047438,0.7510891,0.8666540
INFOGAIN,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861
INFOGAIN,GaussianNB,300,0.4183054,0.4758318,0.8632524,0.4183054
